id,created_at,first_name,last_name,email,website,instagram_id,facebook_id,x_id,bio
1,2023-01-15T08:30:25Z,Emma,Johnson,emma.johnson@email.com,https://emmajohnson.dev,@emmaj_designs,emma.johnson.1985,@emmajdev,"Web developer passionate about creating accessible digital experiences. Coffee enthusiast and weekend hiker."
2,2023-01-18T14:22:10Z,Michael,Chen,mchen@techcorp.com,https://michaelchen.tech,@mike_codes,michael.chen.tech,@mikechentech,"Full-stack engineer building the future one line of code at a time. Always learning something new."
3,2023-01-20T09:45:33Z,Sarah,Williams,sarah.w.designer@gmail.com,https://sarahwilliams.portfolio,@sarah_creates,sarah.williams.creative,@sarahwcreates,"UI/UX Designer crafting beautiful user experiences. Dog mom and plant collector living in Portland."
4,2023-01-22T16:18:47Z,David,Rodriguez,d.rodriguez@marketing.co,https://davidrodriguez.blog,@davidr_marketing,david.rodriguez.writer,@davidrwrites,"Content strategist helping brands tell their stories. Marathon runner and travel photography enthusiast."
5,2023-01-25T11:33:22Z,Jessica,Thompson,jess.thompson@freelance.net,https://jessthompson.photo,@jessthompson_photo,jessica.thompson.photographer,@jessthompsonphoto,"Portrait and wedding photographer capturing life's precious moments. Based in Austin, TX."
6,2023-01-28T13:07:55Z,Ryan,Lee,ryanlee.dev@outlook.com,https://ryanlee.codes,@ryan_codes_daily,ryan.lee.developer,@ryancodesall,"Mobile app developer specializing in React Native. Blockchain enthusiast and tech meetup organizer."
7,2023-02-01T07:41:18Z,Amanda,Garcia,amanda@creativestudio.com,https://amandagarcia.art,@amanda_art_studio,amanda.garcia.artist,@amandaartworks,"Digital artist and illustrator bringing imagination to life. Tea lover and indie music discoverer."
8,2023-02-03T10:15:29Z,Brandon,Martinez,brandon.martinez@consulting.biz,https://brandonmartinez.consulting,@brandon_consults,brandon.martinez.consultant,@brandonmconsult,"Business consultant helping startups scale effectively. CrossFit athlete and productivity optimization nerd."
9,2023-02-05T15:52:41Z,Rachel,Davis,rachel.davis.writer@protonmail.com,https://racheldavis.blog,@rachel_writes_daily,rachel.davis.author,@rachelwritesnow,"Technical writer and blogger sharing insights on remote work culture. Yoga instructor and sustainability advocate."
10,2023-02-08T12:29:16Z,Kevin,Anderson,kevin.anderson@techstartup.io,https://kevinanderson.ai,@kevin_ai_researcher,kevin.anderson.ai,@kevinaitech,"AI researcher exploring the intersection of machine learning and human creativity. Chess player and philosophy reader."
11,2023-02-10T09:18:33Z,Lisa,Wilson,lisa.wilson@designagency.com,https://lisawilson.design,@lisa_design_daily,lisa.wilson.designer,@lisadesigns,"Brand designer helping businesses create memorable visual identities. Vintage vinyl collector and concert goer."
12,2023-02-12T14:46:22Z,Christopher,Moore,chris.moore@email.com,https://chrismoore.fitness,@chris_fitness_coach,christopher.moore.fitness,@chrisfitcoach,"Personal trainer and nutrition coach transforming lives through fitness. Mountain biker and meal prep enthusiast."
13,2023-02-15T08:33:47Z,Ashley,Taylor,ashley.taylor.marketing@yahoo.com,https://ashleytaylor.social,@ashley_social_guru,ashley.taylor.marketing,@ashleysocialguru,"Social media strategist helping brands build authentic communities. Book club leader and weekend baker."
